frameNo,frameName,chapterNo,chapterName
16,"Kirke, utdanning og forskning",3220,Utdanningsdirektoratet
16,"Kirke, utdanning og forskning",3222,Statlige grunn- og videregående skoler og grunnskoleinternat
16,"Kirke, utdanning og forskning",3224,Senter for IKT i utdanningen
16,"Kirke, utdanning og forskning",3225,Tiltak i grunnopplæringen
16,"Kirke, utdanning og forskning",3229,Statens fagskole for gartnere og blomsterdekoratører
16,"Kirke, utdanning og forskning",3230,Statlig spesialpedagogisk støttesystem
16,"Kirke, utdanning og forskning",3256,"Vox, nasjonalt fagorgan for kompetansepolitikk"
16,"Kirke, utdanning og forskning",3280,Felles enheter
16,"Kirke, utdanning og forskning",3281,Felles tiltak for universiteter og høyskoler
16,"Kirke, utdanning og forskning",3287,Forskningsinstitutter og andre tiltak
16,"Kirke, utdanning og forskning",3288,Internasjonale samarbeidstiltak
16,"Kirke, utdanning og forskning",4020,Havforskningsinstituttet
16,"Kirke, utdanning og forskning",4021,Drift av forskningsfartøyene
16,"Kirke, utdanning og forskning",4022,NIFES
16,"Kirke, utdanning og forskning",4023,"Fiskeri-, havbruks- og transportrettet FoU"
16,"Kirke, utdanning og forskning",4590,Den norske kirke
16,"Kirke, utdanning og forskning",4592,Kirkebygg og gravplasser
